год,выпуск,реклама,тематика номера,Христос,Бог,Богоматерь,святые,крест,карикатуры на религиозные сюжеты,демонология,рабочие и крестьяне,Иегова,Аллах,древние боги,языческие религии,"служители языческих, древних или восточных культов",священники,монахи,муллы/муфтии,раввины,христиане,иудеи,мусульмане,верующие восточных и древних культов,язычники,буржуазия,монархия,революционеры,актуальные события,медицина и наука,география номера,разоблачение таинств,разоблачение религии,"власть, буржуазия и религия",религия и наука,разоблачение верующих,разоблачение религии через науку,материализм,феминистические темы,разоблачение мощей,вред от религии,свастика,теория эволюции
1923,1,-,антирелигиозная пропаганда,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,,+,+,+,-,-,+,+,-,-,-,-,-
1923,2,-,антирелигиозная пропаганда,+,+,-,+,+,+,+,+,+,-,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,-,,+,+,+,+,-,+,-,-,-,-,-,-
1923,3,-,антирелигиозная пропаганда,+,-,-,+,+,+,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,,+,+,+,+,-,-,-,+,-,-,-,+
1923,4,,НОМЕР НЕДОСТАЕТ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,5,-,"антирелигиозная пропаганда, борьба с иудаизмом",+,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,+,,-,+,+,-,-,+,+,-,-,-,-,+
1923,6,-,антирелигиозная пропаганда,+,-,-,+,-,-,-,+,+,+,+,+,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,,-,+,+,-,+,+,+,-,-,-,-,+
1923,7,-,антирелигиозная пропаганда,-,-,-,+,+,+,-,+,+,-,-,+,-,+,-,-,-,+,+,-,-,+,+,+,-,-,-,,-,+,+,-,-,-,-,-,-,-,-,-
1923,8,-,антирелигиозная пропаганда,+,+,+,+,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,,-,+,+,-,-,+,+,+,-,-,-,-
1923,9,-,антирелигиозная пропаганда,+,+,-,+,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,,-,+,+,+,-,+,+,-,-,-,-,-
1923,10,,НОМЕР СОВМЕЩЕН С ПРЕДЫДУЩИМ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,1,-,Антирелигиозная пропаганда,+,+,-,+,+,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,+,+,+,-,-,-,,-,+,+,-,-,-,-,-,-,-,-,-
1924,2,,,+,+,,,,,,,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
